Date,Primary Type,Location Description,Arrest,Ward,Year,Latitude,Longitude
05/24/2021 03:06:00 PM,HOMICIDE,STREET,true,36,2021,41.91783806,-87.75596897
06/26/2021 09:24:00 AM,HOMICIDE,PARKING LOT,true,50,2021,41.99521944,-87.71335491
11/09/23 7:30,BURGLARY,APARTMENT,false,47,2023,41.95234509,-87.67797506
11/12/23 7:59,BATTERY,SMALL RETAIL STORE,true,6,2023,41.73775077,-87.60485591
09/06/23 17:00,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,42,2023,41.88601806,-87.63393788
07/01/24 0:00,DECEPTIVE PRACTICE,AIRPORT EXTERIOR - NON-SECURE AREA,false,41,2024,41.99491395,-87.88193767
08/25/2024 08:21:00 PM,HOMICIDE,STREET,false,27,2024,41.89185127,-87.7105028
04/01/24 0:00,BATTERY,APARTMENT,false,14,2024,41.78384449,-87.70084273
03/24/2022 05:07:00 PM,MOTOR VEHICLE THEFT,GAS STATION,false,34,2022,41.86684367,-87.62581667
08/23/2024 06:00:00 AM,BATTERY,APARTMENT,true,7,2024,41.75113362,-87.55894689
08/24/2024 03:59:00 PM,BATTERY,APARTMENT,false,4,2024,41.81039168,-87.60391608
08/14/2024 05:00:00 PM,DECEPTIVE PRACTICE,APARTMENT,false,31,2024,41.93128816,-87.76545055
08/23/2024 12:00:00 PM,DECEPTIVE PRACTICE,DAY CARE CENTER,false,40,2024,41.99047805,-87.69296356
08/09/24 16:00,DECEPTIVE PRACTICE,CREDIT UNION,false,34,2024,41.8769047,-87.62904347
08/31/2023 12:00:00 PM,DECEPTIVE PRACTICE,STREET,false,27,2023,41.87756511,-87.68479102
07/24/2023 09:45:00 PM,CRIMINAL SEXUAL ASSAULT,APARTMENT,false,7,2023,41.7619185,-87.57620925
08/27/2023 07:00:00 AM,THEFT,APARTMENT,false,30,2023,41.94337853,-87.7199738
09/04/23 21:30,CRIMINAL DAMAGE,RESIDENCE - GARAGE,false,14,2023,41.79647741,-87.70854092
08/15/2023 02:20:00 PM,THEFT,RESIDENCE - PORCH / HALLWAY,false,18,2023,41.7526888,-87.70490879
07/24/2023 04:09:00 PM,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,false,6,2023,41.75812617,-87.63158251
09/03/23 10:27,THEFT,APARTMENT,false,21,2023,41.73149773,-87.65807457
08/17/2023 07:00:00 AM,THEFT,STREET,false,17,2023,41.76482708,-87.67170912
08/24/2023 02:27:00 PM,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,false,11,2023,41.83765193,-87.64140409
08/11/23 11:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,false,28,2023,41.88059439,-87.70295942
11/11/23 0:00,MOTOR VEHICLE THEFT,STREET,false,28,2023,41.88077908,-87.72137703
11/10/23 5:30,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),false,29,2023,41.91518726,-87.77542523
11/03/23 12:00,DECEPTIVE PRACTICE,APARTMENT,false,46,2023,41.95203631,-87.64628188
11/10/23 17:30,MOTOR VEHICLE THEFT,STREET,false,37,2023,41.89888459,-87.7341962
11/10/23 20:28,MOTOR VEHICLE THEFT,STREET,false,10,2023,41.69997111,-87.53286642
11/10/23 12:15,ROBBERY,STREET,false,26,2023,41.89850206,-87.69924242
11/10/23 11:00,ASSAULT,APARTMENT,false,21,2023,41.70595655,-87.64837349
04/21/2019 12:30:00 PM,ROBBERY,RESIDENCE,false,8,2019,41.74950033,-87.6011574
04/17/2021 03:20:00 PM,ROBBERY,RESIDENCE,true,6,2021,41.74662631,-87.61803195
01/14/2022 03:55:00 PM,OTHER OFFENSE,RESIDENCE,false,16,2022,41.77178244,-87.64943693
01/13/2022 04:00:00 PM,OFFENSE INVOLVING CHILDREN,RESIDENCE,false,36,2022,41.89920607,-87.70550559
08/05/22 21:00,SEX OFFENSE,APARTMENT,true,5,2022,41.76333797,-87.59700113
08/14/2022 02:00:00 PM,SEX OFFENSE,RESIDENCE,false,39,2022,41.98587528,-87.76640386
11/10/22 3:47,PUBLIC PEACE VIOLATION,STREET,false,17,2022,41.76261474,-87.65284046
08/17/2019 01:14:00 PM,OFFENSE INVOLVING CHILDREN,RESIDENCE,true,37,2019,41.89621515,-87.72857205
03/30/2023 09:16:00 AM,SEX OFFENSE,APARTMENT,false,8,2023,41.7486538,-87.60268049
05/10/23 12:43,OFFENSE INVOLVING CHILDREN,RESIDENCE,false,30,2023,41.93201543,-87.76991667
04/01/23 11:13,OFFENSE INVOLVING CHILDREN,RESIDENCE,false,26,2023,41.91756278,-87.74982812
06/22/2023 06:52:00 PM,DECEPTIVE PRACTICE,AUTO / BOAT / RV DEALERSHIP,true,1,2023,41.91065261,-87.66614577
07/04/23 17:30,MOTOR VEHICLE THEFT,STREET,true,3,2023,41.80890316,-87.61813919
11/09/18 0:00,CRIMINAL SEXUAL ASSAULT,RESIDENCE,false,29,2018,41.91157425,-87.78997228
02/01/23 14:00,SEX OFFENSE,APARTMENT,true,20,2023,41.78826455,-87.62229949
08/17/2023 03:15:00 PM,THEFT,DEPARTMENT STORE,true,1,2023,41.91765602,-87.68875026
08/17/2023 07:25:00 PM,THEFT,STREET,true,35,2023,41.93588316,-87.71621965
08/20/2023 04:30:00 AM,CRIMINAL DAMAGE,RESIDENCE,true,36,2023,41.91779013,-87.75462463
08/20/2023 06:00:00 AM,THEFT,STREET,true,26,2023,41.91750674,-87.75339264
08/21/2023 07:28:00 AM,CRIMINAL TRESPASS,CHA PARKING LOT / GROUNDS,true,26,2023,41.91096238,-87.69455985
08/21/2023 02:37:00 PM,DECEPTIVE PRACTICE,STREET,true,26,2023,41.92120774,-87.75483259
08/22/2023 11:44:00 AM,THEFT,DEPARTMENT STORE,true,32,2023,41.92974382,-87.68427378
08/24/2023 04:07:00 PM,THEFT,DEPARTMENT STORE,true,1,2023,41.9033043,-87.67006468
08/26/2023 02:15:00 AM,CRIMINAL TRESPASS,RESTAURANT,true,31,2023,41.9242483,-87.74563692
08/26/2023 01:43:00 PM,THEFT,GROCERY FOOD STORE,true,39,2023,41.97235959,-87.72814279
08/27/2023 01:16:00 AM,BATTERY,STREET,true,33,2023,41.9692293,-87.71338636
08/27/2023 11:58:00 AM,THEFT,APPLIANCE STORE,true,32,2023,41.92823582,-87.68208415
08/27/2023 01:16:00 PM,THEFT,SMALL RETAIL STORE,true,26,2023,41.91010705,-87.70767654
08/27/2023 10:00:00 PM,MOTOR VEHICLE THEFT,STREET,true,23,2023,41.76170131,-87.71864284
08/28/2023 06:23:00 AM,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),true,36,2023,41.9301323,-87.7856768
08/29/2023 01:59:00 PM,CRIMINAL DAMAGE,RESIDENCE,true,37,2023,41.9065191,-87.75835963
08/30/2023 03:28:00 PM,THEFT,DEPARTMENT STORE,true,32,2023,41.92974382,-87.68427378
08/30/2023 10:34:00 AM,CRIMINAL DAMAGE,APARTMENT,true,35,2023,41.92886994,-87.72567292
08/31/2023 05:12:00 PM,THEFT,SMALL RETAIL STORE,true,36,2023,41.92628702,-87.785548
09/02/23 0:35,BATTERY,STREET,true,1,2023,41.90312536,-87.6809839
09/02/23 1:00,BATTERY,RESIDENCE,true,6,2023,41.74823293,-87.64153328
09/02/23 16:28,MOTOR VEHICLE THEFT,RESIDENCE,true,29,2023,41.90968718,-87.79600963
09/02/23 23:00,BATTERY,APARTMENT,true,10,2023,41.71286177,-87.53769489
09/01/23 19:50,OTHER OFFENSE,STREET,false,37,2023,41.91049144,-87.74993661
09/03/23 3:00,MOTOR VEHICLE THEFT,STREET,true,17,2023,41.76342357,-87.70523658
09/03/23 21:50,OTHER OFFENSE,STREET,true,45,2023,41.98142637,-87.77299737
09/04/23 19:15,BATTERY,RESIDENCE,true,14,2023,41.79651034,-87.7085406
09/04/23 21:47,OTHER OFFENSE,STREET,true,31,2023,41.94558362,-87.74704737
09/04/23 22:10,OTHER OFFENSE,STREET,true,38,2023,41.96120206,-87.77704989
05/24/2023 12:00:00 PM,MOTOR VEHICLE THEFT,RESIDENCE - GARAGE,false,45,2023,41.98896259,-87.78277087
09/05/23 19:18,OTHER OFFENSE,STREET,true,29,2023,41.91538933,-87.76570174
09/05/23 19:22,ASSAULT,APARTMENT,true,36,2023,41.91943601,-87.77556459
09/05/23 23:30,OTHER OFFENSE,STREET,true,37,2023,41.90256263,-87.75087938
09/05/23 22:54,OTHER OFFENSE,STREET,true,1,2023,41.91050544,-87.67631647
07/08/10 9:30,THEFT,RESIDENCE,false,5,2010,41.79583791,-87.5854294
05/06/24 8:00,MOTOR VEHICLE THEFT,STREET,false,31,2024,41.9357645,-87.74430733
08/15/2024 09:00:00 AM,OFFENSE INVOLVING CHILDREN,RESIDENCE,false,18,2024,41.73682681,-87.66552245
11/01/23 0:00,MOTOR VEHICLE THEFT,STREET,false,37,2023,41.89905172,-87.75447428
02/22/2024 12:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,false,29,2024,41.9334899,-87.80292868
08/15/2024 09:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,false,21,2024,41.6997695,-87.63177425
06/30/2024 12:00:00 AM,DECEPTIVE PRACTICE,APARTMENT,false,16,2024,41.77679963,-87.68601621
09/20/2024 06:25:00 PM,DECEPTIVE PRACTICE,RESIDENCE,false,3,2024,41.81034705,-87.61293277
09/05/23 14:51,BATTERY,APARTMENT,false,24,2023,41.8629145,-87.70973744
08/25/2024 12:00:00 PM,BURGLARY,APARTMENT,false,20,2024,41.79680481,-87.60565445
08/25/2024 02:59:00 AM,CRIMINAL DAMAGE,STREET,false,21,2024,41.7021321,-87.62814522
